iter	RMSE
0	221.6975499
1	202.2668148
2	184.8783912
3	168.3811108
4	154.5017474
5	140.6951042
6	128.4346254
7	117.1609732
8	107.2508076
9	97.87433493
10	89.3058096
11	81.76531099
12	75.71560847
13	69.29945042
14	63.41042878
15	58.44327506
16	53.58235198
17	49.36106549
18	45.46653036
19	42.16360322
20	39.14452319
21	36.22694195
22	33.4287553
23	30.97045772
24	28.59244175
25	26.54327559
26	24.65537504
27	22.92612232
28	21.49471825
29	20.15774536
30	18.81678829
31	17.65182698
32	16.61245911
33	15.6761279
34	14.75320644
35	13.94159639
36	13.2401237
37	12.57772483
38	12.07136605
39	11.54134718
40	11.05141225
41	10.64781232
42	10.28799194
43	10.01108724
44	9.73670708
45	9.504171864
46	9.268894213
47	9.072270067
48	8.854149545
49	8.685244177
50	8.517009175
51	8.390302842
52	8.258732479
53	8.145465133
54	8.037537031
55	7.91222389
56	7.78120833
57	7.675524112
58	7.601788275
59	7.496043506
60	7.446673913
61	7.351986378
62	7.291928145
63	7.195298817
64	7.12711632
65	7.070594236
66	7.011137106
67	6.956868971
68	6.913573514
69	6.85246308
70	6.804591777
71	6.727574822
72	6.676076585
73	6.638421738
74	6.593009718
75	6.549361658
76	6.523799794
77	6.423446101
78	6.388202615
79	6.339173323
80	6.299920847
81	6.259553207
82	6.213922349
83	6.167851122
84	6.122104185
85	6.072415648
86	6.041395217
87	5.982549802
88	5.932176329
89	5.895220732
90	5.853489537
91	5.813634799
92	5.779815549
93	5.751036421
94	5.693531735
95	5.677976436
96	5.645257463
97	5.617263233
98	5.595830681
99	5.508458168
