iter	Passed	Remaining
0	1	166
1	3	149
2	4	148
3	6	150
4	8	155
5	9	149
6	10	144
7	12	140
8	13	138
9	15	137
10	16	134
11	17	131
12	19	127
13	20	127
14	22	126
15	23	125
16	25	123
17	26	121
18	28	119
19	29	118
20	30	116
21	32	115
22	33	113
23	35	111
24	36	109
25	37	108
26	39	106
27	40	105
28	42	104
29	44	103
30	46	103
31	48	102
32	49	101
33	51	99
34	53	98
35	54	97
36	56	95
37	57	94
38	59	92
39	60	91
40	62	89
41	63	88
42	65	86
43	66	84
44	68	83
45	69	81
46	71	80
47	72	78
48	73	76
49	75	75
50	76	73
51	77	71
52	79	70
53	80	68
54	81	66
55	83	65
56	85	64
57	87	63
58	88	61
59	90	60
60	92	58
61	93	57
62	95	56
63	97	54
64	99	53
65	101	52
66	103	50
67	104	49
68	107	48
69	109	46
70	111	45
71	113	43
72	115	42
73	116	41
74	118	39
75	120	38
76	122	36
77	123	34
78	126	33
79	128	32
80	130	30
81	132	28
82	134	27
83	136	25
84	138	24
85	141	22
86	143	21
87	145	19
88	147	18
89	149	16
90	150	14
91	153	13
92	155	11
93	157	10
94	159	8
95	161	6
96	163	5
97	165	3
98	167	1
99	170	0
