iter	Passed	Remaining
0	145	145662
1	147	73531
2	149	49550
3	150	37434
4	151	30225
5	153	25410
6	154	21941
7	156	19418
8	157	17383
9	159	15761
10	161	14499
11	162	13402
12	164	12453
13	165	11647
14	166	10962
15	168	10388
16	170	9843
17	171	9335
18	172	8903
19	175	8581
20	177	8267
21	178	7936
22	179	7638
23	181	7366
24	182	7120
25	184	6908
26	185	6694
27	187	6494
28	188	6318
29	190	6174
30	192	6017
31	193	5862
32	195	5716
33	196	5578
34	197	5457
35	199	5351
36	201	5235
37	202	5126
38	203	5022
39	205	4922
40	207	4845
41	208	4757
42	209	4670
43	211	4587
44	212	4508
45	214	4448
46	216	4382
47	217	4314
48	218	4249
49	220	4187
50	222	4136
51	223	4078
52	224	4020
53	226	3963
54	227	3910
55	229	3869
56	231	3823
57	232	3777
58	233	3731
59	235	3685
60	237	3651
61	238	3614
62	240	3571
63	241	3530
64	242	3491
65	244	3458
66	246	3427
67	247	3392
68	248	3357
69	250	3326
70	252	3298
71	253	3270
72	255	3239
73	256	3208
74	257	3179
75	259	3154
76	262	3142
77	263	3114
78	264	3086
79	266	3059
80	267	3038
81	269	3017
82	270	2992
83	272	2967
84	273	2942
85	274	2919
86	277	2910
87	278	2889
88	280	2867
89	281	2845
90	283	2829
91	284	2811
92	286	2790
93	287	2769
94	288	2749
95	290	2733
96	292	2720
97	293	2701
98	294	2683
99	296	2665
100	297	2647
101	299	2638
102	301	2622
103	302	2605
104	303	2589
105	305	2572
106	306	2561
107	308	2548
108	309	2532
109	311	2517
110	312	2502
111	313	2483
112	315	2476
113	316	2462
114	318	2448
115	319	2433
116	321	2426
117	323	2417
118	324	2404
119	326	2393
120	327	2380
121	329	2371
122	331	2362
123	333	2353
124	334	2342
125	336	2332
126	338	2326
127	340	2317
128	341	2309
129	345	2311
130	347	2303
131	349	2295
132	350	2285
133	353	2282
134	354	2272
135	356	2262
136	357	2254
137	361	2258
138	363	2250
139	365	2242
140	366	2235
141	368	2228
142	370	2219
143	372	2215
144	374	2210
145	377	2206
146	378	2198
147	380	2189
148	382	2185
149	385	2181
150	387	2176
151	388	2167
152	391	2164
153	393	2159
154	395	2154
155	397	2150
156	400	2148
157	402	2143
158	403	2134
159	406	2131
160	407	2125
161	409	2118
162	411	2110
163	413	2106
164	415	2100
165	416	2094
166	418	2086
167	420	2083
168	422	2077
169	424	2070
170	425	2064
171	428	2062
172	430	2058
173	431	2049
174	433	2042
175	434	2034
176	436	2030
177	438	2023
178	439	2015
179	440	2007
180	441	1999
181	443	1994
182	445	1987
183	447	1982
184	448	1975
185	450	1969
186	451	1963
187	453	1960
188	455	1954
189	456	1946
190	458	1941
191	460	1937
192	461	1931
193	463	1924
194	464	1917
195	466	1914
196	468	1909
197	470	1904
198	471	1898
199	473	1892
200	474	1887
201	476	1881
202	477	1875
203	479	1869
204	480	1865
205	482	1861
206	484	1855
207	485	1848
208	486	1842
209	488	1837
210	490	1833
211	491	1827
212	492	1821
213	494	1815
214	495	1809
215	497	1806
216	498	1800
217	500	1794
218	501	1788
219	502	1782
220	504	1778
221	506	1773
222	507	1767
223	508	1762
224	510	1756
225	511	1751
226	513	1748
227	514	1743
228	516	1737
229	517	1732
230	518	1726
231	520	1723
232	522	1718
233	523	1713
234	524	1708
235	526	1703
236	528	1700
237	529	1696
238	531	1692
239	532	1687
240	534	1682
241	536	1679
242	537	1675
243	539	1670
244	540	1665
245	541	1660
246	543	1657
247	545	1652
248	546	1647
249	547	1642
250	548	1638
251	551	1635
252	552	1631
253	553	1627
254	555	1622
255	556	1617
256	558	1614
257	560	1610
258	561	1606
259	562	1602
260	564	1597
261	566	1595
262	567	1591
263	569	1587
264	570	1582
265	572	1578
266	574	1576
267	575	1572
268	576	1567
269	578	1563
270	579	1559
271	581	1556
272	583	1552
273	584	1548
274	585	1544
275	587	1540
276	589	1537
277	590	1533
278	591	1529
279	593	1524
280	594	1520
281	596	1517
282	597	1514
283	599	1510
284	600	1506
285	601	1502
286	603	1498
287	605	1496
288	606	1493
289	608	1490
290	610	1486
291	612	1484
292	613	1481
293	615	1477
294	616	1473
295	617	1469
296	620	1467
297	621	1464
298	622	1460
299	624	1456
300	626	1454
301	628	1452
302	629	1448
303	630	1444
304	632	1440
305	633	1437
306	635	1435
307	637	1431
308	638	1427
309	639	1424
310	641	1420
311	643	1417
312	644	1414
313	645	1410
314	646	1406
315	648	1403
316	649	1400
317	651	1397
318	653	1394
319	654	1390
320	655	1387
321	657	1385
322	659	1382
323	661	1380
324	663	1377
325	664	1374
326	666	1371
327	667	1368
328	669	1365
329	671	1363
330	673	1362
331	675	1359
332	677	1356
333	679	1354
334	681	1352
335	683	1351
336	685	1348
337	687	1345
338	690	1345
339	691	1342
340	693	1339
341	695	1337
342	697	1335
343	699	1333
344	700	1330
345	702	1327
346	704	1325
347	706	1323
348	708	1321
349	710	1319
350	712	1317
351	714	1315
352	715	1312
353	717	1309
354	719	1308
355	722	1306
356	724	1304
357	726	1302
358	729	1301
359	732	1301
360	734	1300
361	736	1298
362	738	1295
363	739	1292
364	741	1290
365	743	1288
366	745	1285
367	747	1283
368	749	1281
369	751	1280
370	753	1277
371	754	1274
372	757	1272
373	759	1270
374	760	1267
375	762	1265
376	764	1263
377	766	1261
378	768	1258
379	769	1256
380	772	1254
381	774	1252
382	775	1249
383	777	1246
384	779	1244
385	782	1244
386	784	1243
387	788	1243
